scope,checkpoint,method,process_count,precision_percent,recall_percent,f1_percent,miou_room_percent
all,all_checkpoints,voxroom,68,92.4907,95.5240,93.5770,70.3510
all,all_checkpoints,tvars_original,68,87.0197,97.2820,91.4700,52.4570
all,milestone_020,voxroom,68,90.5853,96.9240,92.9254,72.4161
all,milestone_020,tvars_original,68,86.4282,98.4622,91.2236,62.8069
all,milestone_040,voxroom,68,92.2190,96.2597,93.6685,73.7523
all,milestone_040,tvars_original,68,88.3370,97.5816,92.3458,56.3686
all,milestone_060,voxroom,67,92.4863,95.3715,93.5650,69.3207
all,milestone_060,tvars_original,67,86.0273,97.4757,91.0605,44.3855
all,milestone_070,voxroom,67,92.0321,95.4683,93.3325,67.9756
all,milestone_070,tvars_original,67,85.4318,97.0784,90.5068,45.1509
all,milestone_080,voxroom,67,92.7184,94.7254,93.3809,68.0518
all,milestone_080,tvars_original,67,86.8707,96.5952,91.1482,50.8691
all,milestone_090,voxroom,63,93.0766,94.7986,93.6737,67.9900
all,milestone_090,tvars_original,63,86.9162,96.8264,91.3643,49.7410
all,final,voxroom,68,94.3563,95.0537,94.4915,72.6939
all,final,tvars_original,68,89.0816,96.9116,92.6082,57.4304
excluding_training,all_checkpoints,voxroom,58,92.0537,95.3819,93.2449,69.6892
excluding_training,all_checkpoints,tvars_original,58,86.7925,97.1254,91.2732,52.7291
excluding_training,milestone_020,voxroom,58,90.0290,96.7223,92.4927,71.9285
excluding_training,milestone_020,tvars_original,58,85.1551,98.3898,90.4274,60.5268
excluding_training,milestone_040,voxroom,58,92.0108,96.1240,93.4679,73.2359
excluding_training,milestone_040,tvars_original,58,88.2581,97.3779,92.2225,57.4844
excluding_training,milestone_060,voxroom,57,91.7556,95.2079,93.0680,66.9347
excluding_training,milestone_060,tvars_original,57,85.8152,97.2911,90.8732,44.6527
excluding_training,milestone_070,voxroom,57,91.3324,95.3931,92.8920,66.7254
excluding_training,milestone_070,tvars_original,57,85.5580,96.9261,90.5414,45.5248
excluding_training,milestone_080,voxroom,57,92.2768,94.5399,93.0198,67.7841
excluding_training,milestone_080,tvars_original,57,86.8376,96.4431,91.0447,51.9329
excluding_training,milestone_090,voxroom,53,92.7161,94.5636,93.3381,67.4821
excluding_training,milestone_090,tvars_original,53,86.8012,96.6256,91.2076,50.4803
excluding_training,final,voxroom,58,94.2985,95.0346,94.4305,73.4115
excluding_training,final,tvars_original,58,89.0856,96.7689,92.5667,58.0310

