dataset,scene_id,episode_uid,method,coverage_event_id,coverage_event_kind,coverage_ratio,coverage_threshold,is_last,step,precision,recall,f1,miou_room,precision_percent,recall_percent,f1_percent,miou_room_percent,n_gt,n_pred,metric_domain_pixels,gt_filtered_small,pred_filtered_small,snapshot_path,match_visualization
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,tvars_original,milestone_020,coverage_milestone,0.23752141793769838,0.2,False,0,1.0,0.9896647037615671,0.9948055085769509,0.9896647037615671,100.0,98.9664703761567,99.48055085769509,98.9664703761567,1,1,8321,1,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_020/tvars_original/roomseg_snapshots/roomseg_milestone_020_step_000000.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/tvars_original/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_020.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,voxroom,milestone_020,coverage_milestone,0.23752141793769838,0.2,False,0,1.0,0.9915875495733686,0.9957760077238715,0.9915875495733686,100.0,99.15875495733685,99.57760077238716,99.15875495733685,1,1,8321,1,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_020/voxroom/roomseg_snapshots/roomseg_milestone_020_step_000000.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/voxroom/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_020.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,tvars_original,milestone_040,coverage_milestone,0.4003539226426224,0.4,False,56,0.9755033544255546,0.9938641569825668,0.9845981650084226,0.6453104521592373,97.55033544255546,99.38641569825668,98.45981650084225,64.53104521592373,3,2,14148,2,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_040/tvars_original/roomseg_snapshots/roomseg_milestone_040_step_000056.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/tvars_original/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_040.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,voxroom,milestone_040,coverage_milestone,0.4003539226426224,0.4,False,56,1.0,0.9775072606648826,0.9886257108722043,0.9775072606648826,100.0,97.75072606648826,98.86257108722043,97.75072606648826,3,3,14148,2,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_040/voxroom/roomseg_snapshots/roomseg_milestone_040_step_000056.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/voxroom/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_040.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,tvars_original,milestone_060,coverage_milestone,0.6054324316732677,0.6,False,357,0.9426435181793764,0.9790553467771527,0.960504471754706,0.6077891387977092,94.26435181793764,97.90553467771527,96.0504471754706,60.778913879770926,6,4,21369,0,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_060/tvars_original/roomseg_snapshots/roomseg_milestone_060_step_000357.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/tvars_original/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_060.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,voxroom,milestone_060,coverage_milestone,0.6054324316732677,0.6,False,357,0.9916396979503777,0.9715145799610553,0.9814739834425097,0.9631542779114328,99.16396979503776,97.15145799610553,98.14739834425097,96.31542779114328,6,6,21369,0,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_060/voxroom/roomseg_snapshots/roomseg_milestone_060_step_000357.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/voxroom/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_060.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,tvars_original,milestone_070,coverage_milestone,0.7006263868992444,0.7,False,422,0.950803474169459,0.9791324524544763,0.9647600468211656,0.6132433555650598,95.0803474169459,97.91324524544763,96.47600468211655,61.324335556505986,6,4,24709,1,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_070/tvars_original/roomseg_snapshots/roomseg_milestone_070_step_000422.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/tvars_original/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_070.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,voxroom,milestone_070,coverage_milestone,0.7006263868992444,0.7,False,422,0.9916396979503777,0.9713491372625699,0.9813895502619325,0.9629888352129475,99.16396979503776,97.13491372625698,98.13895502619326,96.29888352129475,6,6,24709,1,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_070/voxroom/roomseg_snapshots/roomseg_milestone_070_step_000422.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/voxroom/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_070.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,tvars_original,milestone_080,coverage_milestone,0.8014943400466279,0.8,False,588,0.9554323293412607,0.9807744235383826,0.9679375310988371,0.5784940620255347,95.54323293412607,98.07744235383826,96.79375310988371,57.84940620255347,8,5,28254,0,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_080/tvars_original/roomseg_snapshots/roomseg_milestone_080_step_000588.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/tvars_original/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_080.pred_gt_match.png
grscene,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd,kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000,voxroom,milestone_080,coverage_milestone,0.8014943400466279,0.8,False,588,0.9806300702802195,0.9706594129642062,0.9756192676963379,0.9513104673165809,98.06300702802196,97.06594129642062,97.56192676963379,95.13104673165809,8,8,28254,0,0,/media/echo/data/voxroom_roomseg_evaluation/grscene_union_fixed0p5_batch32_full7000_20260815_0015/grscene/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd/attempt_01/roomseg_coverage_eval/events/milestone_080/voxroom/roomseg_snapshots/roomseg_milestone_080_step_000588.npz,/media/echo/data/voxroom_roomseg_evaluation/grscene_all_available_gt_20260817/metrics_pr_f1_miou_excluding_training_grscenes_20260818_192125/match_visualizations/voxroom/kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd__attempt_01__kujiale_grscene_MV7J6NIKTKJZ2AABAAAAADA8_usd_grscene_frontier_000000/milestone_080.pred_gt_match.png
